iter	Passed	Remaining
572	11142	8303
573	11160	8282
574	11177	8261
575	11195	8241
576	11213	8220
577	11228	8198
578	11246	8177
579	11261	8155
580	11280	8135
581	11298	8114
582	11315	8093
583	11334	8073
584	11352	8053
585	11370	8033
586	11390	8013
587	11409	7994
588	11430	7976
589	11449	7956
590	11464	7934
591	11483	7914
592	11501	7893
593	11519	7873
594	11538	7853
595	11557	7834
596	11575	7813
597	11592	7792
598	11610	7772
599	11629	7753
600	11650	7734
601	11668	7714
602	11687	7694
603	11706	7675
604	11722	7653
605	11740	7633
606	11755	7611
607	11775	7592
608	11793	7572
609	11814	7553
610	11833	7534
611	11853	7515
612	11873	7496
613	11892	7476
614	11912	7457
615	11932	7438
616	11951	7418
617	11968	7397
618	11986	7377
619	12005	7358
620	12024	7338
621	12042	7318
622	12060	7298
623	12077	7277
624	12095	7257
625	12113	7237
626	12132	7217
627	12148	7196
628	12167	7176
629	12187	7157
630	12207	7138
631	12224	7117
632	12242	7098
633	12269	7082
634	12289	7064
635	12307	7043
636	12325	7023
637	12343	7003
638	12361	6983
639	12380	6963
640	12398	6943
641	12418	6924
642	12437	6905
643	12455	6885
644	12474	6865
645	12492	6845
646	12511	6826
647	12527	6805
648	12546	6785
649	12563	6765
650	12580	6744
651	12598	6724
652	12617	6705
653	12637	6685
654	12657	6666
655	12676	6647
656	12696	6628
657	12715	6609
658	12734	6589
659	12753	6570
660	12785	6557
661	12805	6537
662	12823	6518
663	12843	6499
664	12861	6478
665	12881	6460
666	12900	6440
667	12919	6420
668	12936	6400
669	12956	6381
670	12976	6362
671	12995	6342
672	13014	6323
673	13032	6303
674	13051	6284
675	13073	6265
676	13091	6245
677	13109	6225
678	13127	6206
679	13145	6185
680	13163	6166
681	13182	6146
682	13200	6126
683	13218	6106
684	13238	6087
685	13257	6068
686	13275	6048
687	13294	6029
688	13312	6009
689	13333	5990
690	13352	5971
691	13371	5951
692	13390	5931
693	13409	5912
694	13427	5892
695	13443	5871
696	13460	5851
697	13479	5831
698	13495	5811
699	13514	5791
700	13530	5771
701	13546	5750
702	13564	5730
703	13583	5711
704	13602	5691
705	13619	5671
706	13640	5652
707	13660	5633
708	13679	5614
709	13699	5595
710	13722	5577
711	13743	5559
712	13764	5540
713	13785	5521
714	13806	5503
715	13827	5484
716	13847	5465
717	13868	5447
718	13886	5427
719	13904	5407
720	13921	5387
721	13940	5367
722	13959	5348
723	13980	5329
724	14000	5310
725	14019	5291
726	14037	5271
727	14055	5251
728	14074	5232
729	14093	5212
730	14112	5193
731	14131	5173
732	14152	5154
733	14172	5135
734	14190	5116
735	14207	5096
736	14224	5075
737	14241	5055
738	14258	5035
739	14277	5016
740	14294	4996
741	14312	4976
742	14328	4956
743	14346	4936
744	14367	4917
745	14386	4898
746	14404	4878
747	14424	4859
748	14442	4839
749	14459	4819
750	14477	4800
751	14497	4781
752	14517	4762
753	14535	4742
754	14552	4722
755	14574	4703
756	14592	4684
757	14611	4664
758	14630	4645
759	14649	4626
760	14668	4606
761	14689	4587
762	14707	4568
763	14727	4549
764	14745	4529
765	14762	4509
766	14788	4492
767	14805	4472
768	14824	4453
769	14845	4434
770	14863	4414
771	14882	4395
772	14900	4375
773	14917	4355
774	14935	4336
775	14951	4315
776	14969	4296
777	14988	4276
778	15005	4256
779	15022	4236
780	15039	4217
781	15057	4197
782	15075	4178
783	15091	4157
784	15108	4138
785	15125	4118
786	15141	4098
787	15159	4078
788	15178	4059
789	15196	4039
790	15214	4020
791	15233	4000
792	15249	3980
793	15266	3960
794	15283	3940
795	15299	3920
796	15315	3900
797	15333	3881
798	15350	3861
799	15367	3841
800	15384	3822
801	15403	3802
802	15420	3783
803	15440	3764
804	15458	3744
805	15480	3725
806	15497	3706
807	15515	3686
808	15531	3666
809	15547	3647
810	15565	3627
811	15583	3607
812	15600	3588
813	15618	3568
814	15638	3549
815	15655	3530
816	15673	3510
817	15690	3491
818	15708	3471
819	15726	3452
820	15744	3432
821	15762	3413
822	15780	3393
823	15797	3374
824	15814	3354
825	15832	3335
826	15851	3316
827	15871	3296
828	15889	3277
829	15909	3258
830	15928	3239
831	15946	3219
832	15964	3200
833	15980	3180
834	15997	3161
835	16015	3141
836	16034	3122
837	16051	3103
838	16069	3083
839	16086	3064
840	16105	3044
841	16122	3025
842	16140	3006
843	16159	2986
844	16177	2967
845	16195	2948
846	16211	2928
847	16229	2909
848	16247	2889
849	16264	2870
850	16283	2850
851	16301	2831
852	16319	2812
853	16338	2793
854	16359	2774
855	16378	2755
856	16398	2736
857	16418	2717
858	16435	2697
859	16455	2678
860	16471	2659
861	16489	2639
862	16509	2620
863	16526	2601
864	16542	2581
865	16560	2562
866	16578	2543
867	16595	2523
868	16611	2504
869	16627	2484
870	16646	2465
871	16664	2446
872	16682	2426
873	16699	2407
874	16719	2388
875	16739	2369
876	16759	2350
877	16778	2331
878	16797	2312
879	16814	2292
880	16831	2273
881	16849	2254
882	16865	2234
883	16885	2215
884	16901	2196
885	16920	2177
886	16938	2157
887	16953	2138
888	16970	2118
889	16991	2100
890	17010	2081
891	17028	2061
892	17046	2042
893	17064	2023
894	17081	2004
895	17098	1984
896	17116	1965
897	17134	1946
898	17154	1927
899	17174	1908
900	17189	1888
901	17206	1869
902	17221	1849
903	17240	1830
904	17259	1811
905	17278	1792
906	17294	1773
907	17312	1754
908	17329	1734
909	17346	1715
910	17364	1696
911	17382	1677
912	17401	1658
913	17418	1638
914	17434	1619
915	17451	1600
916	17470	1581
917	17487	1562
918	17506	1542
919	17522	1523
920	17540	1504
921	17556	1485
922	17574	1466
923	17590	1446
924	17607	1427
925	17626	1408
926	17646	1389
927	17663	1370
928	17681	1351
929	17697	1332
930	17715	1312
931	17735	1293
932	17752	1274
933	17769	1255
934	17786	1236
935	17804	1217
936	17821	1198
937	17840	1179
938	17859	1160
939	17878	1141
940	17898	1122
941	17916	1103
942	17936	1084
943	17954	1065
944	17972	1046
945	17991	1027
946	18006	1007
947	18023	988
948	18043	969
949	18059	950
950	18076	931
951	18093	912
952	18110	893
953	18127	874
954	18145	855
955	18162	835
956	18180	816
957	18197	797
958	18214	778
959	18231	759
960	18249	740
961	18267	721
962	18284	702
963	18300	683
964	18317	664
965	18333	645
966	18352	626
967	18369	607
968	18387	588
969	18405	569
970	18421	550
971	18438	531
972	18455	512
973	18472	493
974	18497	474
975	18514	455
976	18536	436
977	18558	417
978	18579	398
979	18598	379
980	18615	360
981	18634	341
982	18655	322
983	18672	303
984	18692	284
985	18709	265
986	18726	246
987	18744	227
988	18761	208
989	18776	189
990	18794	170
991	18810	151
992	18828	132
993	18846	113
994	18863	94
995	18881	75
996	18899	56
997	18916	37
998	18933	18
999	18949	0
